DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
196385,196385,MiniPAT,DS,6,0,2,98,60,02:34:28 03-Feb-2020,NP,1,21.8766,38.0536,17.1547,58.8662,56,,401677645,-122
196385,196385,MiniPAT,DS,4,0,2,140,60,02:52:06 03-Feb-2020,SR,3,21.8740,38.0528,23.5168,45.7953,66,,401677647,-124
196385,196385,MiniPAT,DS,3,0,2,182,125,04:15:11 03-Feb-2020,NP,A,21.8738,38.0519,27.9249,10.6587,8,,401677647,-125
196385,196385,MiniPAT,DS,3,0,2,152,59,04:21:46 03-Feb-2020,NK,A,21.8715,38.0443,18.8597,52.0011,8,,401677645,-124
196385,196385,MiniPAT,DS,3,0,1,120,120,04:31:23 03-Feb-2020,SR,A,21.8748,38.0472,13.2400,-2.0338,8,,401677648,-130
196385,196385,MiniPAT,DS,5,0,1,120,59,05:45:53 03-Feb-2020,MA,1,21.8763,38.0418,16.9362,61.0461,58,,401677647,-122
196385,196385,MiniPAT,DS,6,0,3,83,59,06:01:21 03-Feb-2020,NK,3,21.8801,38.0336,29.1120,4.1797,68,,401677647,-125
196385,196385,MiniPAT,DS,9,0,4,59,59,06:05:50 03-Feb-2020,NN,1,21.8779,38.0382,17.0899,59.3406,56,,401677647,-122
196385,196385,MiniPAT,DS,7,0,4,59,59,06:14:46 03-Feb-2020,MC,3,21.8777,38.0408,15.5650,66.9466,66,,401677648,-115
196385,196385,MiniPAT,DS,3,0,2,209,120,07:02:10 03-Feb-2020,MB,A,21.8774,38.0128,20.5181,44.2611,8,,401650000,-123
196385,196385,MiniPAT,DS,9,0,3,67,59,07:26:07 03-Feb-2020,MA,2,21.8758,38.0268,27.1714,12.9170,58,,401677646,-118
196385,196385,MiniPAT,DS,6,0,2,120,59,07:45:33 03-Feb-2020,NN,2,21.8744,38.0271,27.7815,11.2263,58,,401677647,-125
196385,196385,MiniPAT,DS,11,0,3,71,59,07:53:31 03-Feb-2020,MC,2,21.8785,38.0285,25.9942,18.9868,58,,401677647,-114
196385,196385,MiniPAT,DS,1,0,1,,,08:43:24 03-Feb-2020,MB,,,,,,,,401650000,-134
196385,196385,MiniPAT,DS,8,0,5,68,59,13:46:40 03-Feb-2020,NP,2,21.8712,37.9901,27.9692,65.5195,58,,401677646,-126
196385,196385,MiniPAT,DS,7,0,3,70,59,15:18:06 03-Feb-2020,SR,1,21.8687,37.9827,19.6085,48.6167,58,,401677648,-121
196385,196385,MiniPAT,DS,9,0,3,74,59,15:27:34 03-Feb-2020,NP,2,21.8679,37.9834,17.1068,17.4368,58,,401677647,-123
196385,196385,MiniPAT,DS,4,0,3,79,59,15:28:34 03-Feb-2020,NK,0,21.8694,37.9881,27.0906,62.6067,58,,401677645,-122
196385,196385,MiniPAT,DS,7,0,2,79,59,16:55:15 03-Feb-2020,SR,1,21.8556,37.9767,29.6433,0.9733,58,,401677649,-127
196385,196385,MiniPAT,DS,7,0,4,79,59,16:55:15 03-Feb-2020,MA,2,21.8570,37.9756,28.7249,70.7234,68,,401677648,-121
196385,196385,MiniPAT,DS,8,0,3,85,60,17:09:13 03-Feb-2020,NK,2,21.8553,37.9748,16.7234,14.5899,58,,401677648,-119
196385,196385,MiniPAT,DS,4,0,2,159,59,17:18:11 03-Feb-2020,NN,2,21.8583,37.9740,28.0502,66.2769,68,,401677646,-124
196385,196385,MiniPAT,DS,5,0,5,74,59,17:23:40 03-Feb-2020,MC,1,21.8501,37.9733,29.9855,76.5152,56,,401677649,-121
196385,196385,MiniPAT,DS,6,0,4,95,60,18:09:02 03-Feb-2020,MB,2,21.8498,37.9670,25.2389,53.7962,58,,401677648,-125
196385,196385,MiniPAT,DS,10,0,4,73,59,18:38:00 03-Feb-2020,MA,3,21.8493,37.9637,18.5030,22.7001,66,,401677648,-115
196385,196385,MiniPAT,DS,11,0,2,65,59,19:00:51 03-Feb-2020,NN,3,21.8488,37.9589,17.3181,18.0944,66,,401677647,-123
196385,196385,MiniPAT,DS,12,0,3,64,59,19:06:18 03-Feb-2020,MC,3,21.8491,37.9612,19.7532,28.4974,66,,401677648,-114
196385,196385,MiniPAT,DS,3,0,2,119,60,19:50:44 03-Feb-2020,MB,,,,14.8006,5.7157,8,,401677651,-131
196385,196385,MiniPAT,DS,7,0,6,99,59,02:21:41 04-Feb-2020,SR,3,21.8128,37.9022,26.6281,60.7887,66,,401677649,-126
196385,196385,MiniPAT,DS,8,0,4,76,59,02:21:12 04-Feb-2020,NP,2,21.8151,37.8985,15.6906,64.6766,68,,401677648,-126
196385,196385,MiniPAT,DS,5,0,2,135,59,03:55:47 04-Feb-2020,NK,2,21.8016,37.8838,15.9155,64.2410,66,,401677648,-125
196385,196385,MiniPAT,DS,8,0,2,94,59,04:01:46 04-Feb-2020,NP,3,21.8016,37.8882,26.6048,16.5822,68,,401677648,-124
196385,196385,MiniPAT,DS,9,0,3,59,59,04:02:16 04-Feb-2020,SR,2,21.8023,37.8846,16.3986,13.0499,58,,401677649,-122
196385,196385,MiniPAT,DS,7,0,4,80,59,05:24:55 04-Feb-2020,MA,2,21.7934,37.8694,14.5753,71.0954,68,,401677648,-124
196385,196385,MiniPAT,DS,5,0,2,120,60,05:37:56 04-Feb-2020,NK,2,21.7872,37.8727,26.4077,16.2706,58,,401677647,-124
196385,196385,MiniPAT,DS,7,0,4,80,60,05:52:56 04-Feb-2020,NN,2,21.7942,37.8681,15.6209,65.1948,58,,401677649,-126
196385,196385,MiniPAT,DS,2,0,0,61,61,05:54:26 04-Feb-2020,MC,B,21.7875,37.8748,13.3324,76.9867,8,,401677649,-122
196385,196385,MiniPAT,DS,2,0,2,59,59,06:43:22 04-Feb-2020,MB,B,21.7814,37.8623,18.2158,54.3032,8,,401677649,-131
196385,196385,MiniPAT,DS,11,0,6,65,59,07:03:20 04-Feb-2020,MA,2,21.7789,37.8568,24.9950,22.9138,58,,401677646,-118
196385,196385,MiniPAT,DS,8,0,2,77,59,07:32:17 04-Feb-2020,MC,2,21.7792,37.8539,23.6826,29.0485,68,,401650000,-120
196385,196385,MiniPAT,DS,7,0,1,60,59,07:35:46 04-Feb-2020,NN,1,21.7779,37.8533,26.3865,16.8749,56,,401677649,-129
196385,196385,MiniPAT,DS,1,0,1,,,08:21:40 04-Feb-2020,MB,,,,,,,,401650000,-132
196385,196385,MiniPAT,DS,6,0,5,60,60,13:35:33 04-Feb-2020,NP,1,21.7281,37.8012,29.1630,71.4570,58,,401677646,-129
196385,196385,MiniPAT,DS,1,0,1,,,15:01:46 04-Feb-2020,NK,,,,,,,,401650000,-130
196385,196385,MiniPAT,DS,12,0,7,65,59,15:16:42 04-Feb-2020,NP,2,21.7065,37.7866,18.3774,23.2640,56,,401677648,-122
196385,196385,MiniPAT,DS,2,0,2,238,238,16:34:29 04-Feb-2020,MA,B,21.6938,37.7842,30.5785,81.0546,8,,401677648,-129
196385,196385,MiniPAT,DS,10,0,2,66,60,16:44:28 04-Feb-2020,NK,3,21.6926,37.7744,19.3251,26.9365,58,,401677648,-121
196385,196385,MiniPAT,DS,1,0,0,,,17:03:27 04-Feb-2020,NN,,,,,,,,401650000,-133
196385,196385,MiniPAT,DS,5,0,5,119,59,17:49:26 04-Feb-2020,MB,3,21.6823,37.7628,27.2857,63.9307,68,,401677649,-132
196385,196385,MiniPAT,DS,10,0,3,66,59,18:14:45 04-Feb-2020,MA,2,21.6774,37.7670,20.6402,32.8973,68,,401677649,-118
196385,196385,MiniPAT,DS,9,0,3,74,59,18:42:28 04-Feb-2020,MC,0,21.6757,37.7574,21.9083,38.8117,58,,401677648,-117
196385,196385,MiniPAT,DS,13,0,6,64,59,18:47:55 04-Feb-2020,NN,2,21.6738,37.7490,18.5445,24.0772,58,,401677649,-123
