DateTime,VariableID,VariableValue,VariableName,VariableUnits
2016-08-28 12:42:37,2,-69.117,longitude,degree
2016-08-28 12:42:37,3,41.358,latitude,degree
2016-08-28 12:42:37,34,B,argosLC,unitless
2016-08-28 13:28:57,2,-69.1227,longitude,degree
2016-08-28 13:28:57,3,41.3484,latitude,degree
2016-08-28 13:28:57,34,1,argosLC,unitless
2016-08-28 13:28:57,35,7766,argosErrMaj,meter
2016-08-28 13:28:57,36,261,argosErrMin,meter
2016-08-28 13:28:57,37,80,argosErrOrient,degree
2016-08-28 13:29:42,2,-69.123,longitude,degree
2016-08-28 13:29:42,3,41.348,latitude,degree
2016-08-28 13:29:42,34,1,argosLC,unitless
2016-08-28 13:35:09,2,-69.1185,longitude,degree
2016-08-28 13:35:09,3,41.3489,latitude,degree
2016-08-28 13:35:09,34,3,argosLC,unitless
2016-08-28 13:35:09,35,220,argosErrMaj,meter
2016-08-28 13:35:09,36,137,argosErrMin,meter
2016-08-28 13:35:09,37,63,argosErrOrient,degree
2016-08-28 15:05:48,2,-69.1186,longitude,degree
2016-08-28 15:05:48,3,41.3489,latitude,degree
2016-08-28 15:05:48,34,B,argosLC,unitless
2016-08-28 15:05:48,35,3171,argosErrMaj,meter
2016-08-28 15:05:48,36,1806,argosErrMin,meter
2016-08-28 15:05:48,37,90,argosErrOrient,degree
2016-08-28 15:05:49,2,-69.119,longitude,degree
2016-08-28 15:05:49,3,41.349,latitude,degree
2016-08-28 15:05:49,34,B,argosLC,unitless
2016-08-28 16:07:58,2,-69.1183,longitude,degree
2016-08-28 16:07:58,3,41.3476,latitude,degree
2016-08-28 16:07:58,34,B,argosLC,unitless
2016-08-28 16:07:58,35,4121,argosErrMaj,meter
2016-08-28 16:07:58,36,1907,argosErrMin,meter
2016-08-28 16:07:58,37,87,argosErrOrient,degree
2016-08-28 16:50:25,2,-69.1273,longitude,degree
2016-08-28 16:50:25,3,41.3472,latitude,degree
2016-08-28 16:50:25,34,B,argosLC,unitless
2016-08-28 16:50:25,35,4011,argosErrMaj,meter
2016-08-28 16:50:25,36,2190,argosErrMin,meter
2016-08-28 16:50:25,37,87,argosErrOrient,degree
2016-08-28 16:50:26,2,-69.127,longitude,degree
2016-08-28 16:50:26,3,41.347,latitude,degree
2016-08-28 16:50:26,34,B,argosLC,unitless
2016-08-28 19:01:34,2,-69.1485,longitude,degree
2016-08-28 19:01:34,3,41.3542,latitude,degree
2016-08-28 19:01:34,34,1,argosLC,unitless
2016-08-28 19:01:34,35,12345,argosErrMaj,meter
2016-08-28 19:01:34,36,38,argosErrMin,meter
2016-08-28 19:01:34,37,80,argosErrOrient,degree
2016-08-28 19:03:05,2,-69.148,longitude,degree
2016-08-28 19:03:05,3,41.354,latitude,degree
2016-08-28 19:03:05,34,1,argosLC,unitless
2016-08-28 19:59:22,2,-69.2372,longitude,degree
2016-08-28 19:59:22,3,41.3415,latitude,degree
2016-08-28 19:59:22,34,B,argosLC,unitless
2016-08-28 19:59:22,35,11193,argosErrMaj,meter
2016-08-28 19:59:22,36,6275,argosErrMin,meter
2016-08-28 19:59:22,37,85,argosErrOrient,degree
2016-08-28 19:59:23,2,-69.237,longitude,degree
2016-08-28 19:59:23,3,41.341,latitude,degree
2016-08-28 19:59:23,34,B,argosLC,unitless
2016-08-28 20:43:20,2,-69.2423,longitude,degree
2016-08-28 20:43:20,3,41.3454,latitude,degree
2016-08-28 20:43:20,34,B,argosLC,unitless
2016-08-28 20:43:20,35,15875,argosErrMaj,meter
