// global attributes:
  :institution = "WHOI"
  :references = "doi: xxxx"
// etag device attributes:
  :manufacturer = "wc"
  :model = "miniPAT"
  :owner_contact = "camrin.braun@gmail.com"
  :person_owner = "C. Braun"
  :ptt = "141255"
// etag attachment attributes:
  :attachment_method = "caught rod and reel"
// etag deployment attributes:
  :geospatial_lat_start = "41.40433333"
  :geospatial_lon_start = "69.29866667"
  :time_coverage_start = "2016-08-27 00:00:00"
// etag end of mission attributes:
  :time_coverage_end = "2017-02-23 00:00:00"
  :geospatial_lat_end = "35.231"
  :geospatial_lon_end = "-73.867"
// etag animal attributes:
  :length_capture = "277"
  :length_method_capture = "measured"
  :length_type_capture = "TL"
  :length_unit_capture = "cm"
  :platform = "BSH"
  :lifestage_capture = "adult"
  :sex = "M"
  :tissue_sample_capture = "1"
// data:
// DateTime,VariableID,VariableValue,VariableName,VariableUnits
2016-08-28 00:00:00,1006,2,depthMean,meter
2016-08-28 00:00:00,1008,0.5,depthStDev,meter
2016-08-28 00:02:30,1006,3.5,depthMean,meter
2016-08-28 00:02:30,1008,0.75,depthStDev,meter
2016-08-28 00:05:00,1006,3.5,depthMean,meter
2016-08-28 00:05:00,1008,0.75,depthStDev,meter
2016-08-28 00:07:30,1006,5.5,depthMean,meter
2016-08-28 00:07:30,1008,1,depthStDev,meter
2016-08-28 00:10:00,1006,3.5,depthMean,meter
2016-08-28 00:10:00,1008,0.75,depthStDev,meter
2016-08-28 00:12:30,1006,4.5,depthMean,meter
2016-08-28 00:12:30,1008,0.5,depthStDev,meter
2016-08-28 00:15:00,1006,2.5,depthMean,meter
2016-08-28 00:15:00,1008,0.75,depthStDev,meter
2016-08-28 00:17:30,1006,3.5,depthMean,meter
2016-08-28 00:17:30,1008,0.75,depthStDev,meter
2016-08-28 00:20:00,1006,2.5,depthMean,meter
2016-08-28 00:20:00,1008,0.75,depthStDev,meter
2016-08-28 00:22:30,1006,5.5,depthMean,meter
2016-08-28 00:22:30,1008,1,depthStDev,meter
2016-08-28 00:25:00,1006,3.5,depthMean,meter
2016-08-28 00:25:00,1008,0.75,depthStDev,meter
2016-08-28 00:27:30,1006,4.5,depthMean,meter
2016-08-28 00:27:30,1008,0.5,depthStDev,meter
2016-08-28 00:30:00,1006,3.5,depthMean,meter
2016-08-28 00:30:00,1008,0.75,depthStDev,meter
2016-08-28 00:32:30,1006,4.5,depthMean,meter
2016-08-28 00:32:30,1008,0.5,depthStDev,meter
2016-08-28 00:35:00,1006,3.5,depthMean,meter
2016-08-28 00:35:00,1008,0.75,depthStDev,meter
2016-08-28 00:37:30,1006,3.5,depthMean,meter
2016-08-28 00:37:30,1008,0.75,depthStDev,meter
2016-08-28 00:40:00,1006,3.5,depthMean,meter
2016-08-28 00:40:00,1008,0.75,depthStDev,meter
2016-08-28 00:42:30,1006,1,depthMean,meter
2016-08-28 00:42:30,1008,0.5,depthStDev,meter
2016-08-28 00:45:00,1006,0.5,depthMean,meter
2016-08-28 00:45:00,1008,0.5,depthStDev,meter
2016-08-28 00:47:30,1006,12.5,depthMean,meter
2016-08-28 00:47:30,1008,1.75,depthStDev,meter
2016-08-28 00:50:00,1006,0.5,depthMean,meter
2016-08-28 00:50:00,1008,0.5,depthStDev,meter
2016-08-28 00:52:30,1006,2.5,depthMean,meter
2016-08-28 00:52:30,1008,0.75,depthStDev,meter
2016-08-28 00:55:00,1006,5.5,depthMean,meter
2016-08-28 00:55:00,1008,1,depthStDev,meter
2016-08-28 00:57:30,1006,9,depthMean,meter
2016-08-28 00:57:30,1008,1,depthStDev,meter
2016-08-28 01:00:00,1006,10.5,depthMean,meter
2016-08-28 01:00:00,1008,1,depthStDev,meter
2016-08-28 01:02:30,1006,3.5,depthMean,meter
2016-08-28 01:02:30,1008,0.75,depthStDev,meter
2016-08-28 01:05:00,1006,4.5,depthMean,meter
2016-08-28 01:05:00,1008,0.5,depthStDev,meter
2016-08-28 01:07:30,1006,12.5,depthMean,meter
2016-08-28 01:07:30,1008,1.75,depthStDev,meter
2016-08-28 01:10:00,1006,12.5,depthMean,meter
2016-08-28 01:10:00,1008,1.75,depthStDev,meter
2016-08-28 01:12:30,1006,10.5,depthMean,meter
2016-08-28 01:12:30,1008,1,depthStDev,meter
2016-08-28 01:15:00,1006,1,depthMean,meter
2016-08-28 01:15:00,1008,0.5,depthStDev,meter
2016-08-28 01:17:30,1006,9,depthMean,meter
2016-08-28 01:17:30,1008,1,depthStDev,meter
2016-08-28 01:20:00,1006,4.5,depthMean,meter
2016-08-28 01:20:00,1008,0.5,depthStDev,meter
2016-08-28 01:22:30,1006,1.5,depthMean,meter
2016-08-28 01:22:30,1008,0.5,depthStDev,meter
2016-08-28 01:25:00,1006,22.5,depthMean,meter
2016-08-28 01:25:00,1008,2.25,depthStDev,meter
2016-08-28 01:27:30,1006,12.5,depthMean,meter
