// global attributes:
// etag device attributes:
  :instrument_name = "159922_2020_196385"
  :instrument_type = "popup"
  :manufacturer = "Wildlife"
  :model = "miniPAT"
  :owner_contact = "camrin.braun@gmail.com"
  :person_owner = "Camrin Braun"
  :serial_number = "19P0534"
  :ptt = "196385"
// etag attachment attributes:
  :attachment_method = "hand tag over gunnel"
  :anchor_type = "nylon umbrella Domeier dart"
  :mount_type = "dorsal musculature"
  :release_method = "corrosive burn wire"
  :tether_assembly = "300 lb mono"
  :tether_length_cm = "20cm"
  :tether_material = "300lb mono"
// etag deployment attributes:
  :geospatial_lat_start = "22.32966667"
  :geospatial_lon_start = "38.87583333"
  :time_coverage_start = "2020-01-10"
  :location_capture = "Red Sea"
  :method_capture = "rod and reel"
  :vessel_capture = "Blue Water"
  :temp_degC_capture = "26"
// etag end of mission attributes:
  :time_coverage_end = "2020-01-31"
  :end_details = "Argos"
  :end_type = "mortality"
  :geospatial_lat_end = "21.874"
  :geospatial_lon_end = "38.0528"
// etag animal attributes:
  :length_capture = "49"
  :length_method_capture = "estimated"
  :length_type_capture = "fork length"
  :length_unit_capture = "in"
  :platform = "Alopias pelagicus"
  :taxonomic_serial_number = "159922"
  :lifestage_capture = "sub-adult"
  :sex = "male"
  :tissue_sample_capture = "1"
// etag quality attributes:
  :found_problem = "no"
  :person_qc = "Camrin Braun"
// data:
// DateTime,VariableID,VariableValue,VariableName,VariableUnits
2020-01-11 00:00:00,101,0,PdtDepth01,meter
2020-01-11 00:00:00,102,25.4,PdtTempMin01,Celsius
2020-01-11 00:00:00,103,25.8,PdtTempMax01,Celsius
2020-01-11 00:00:00,104,24,PdtDepth02,meter
2020-01-11 00:00:00,105,25.6,PdtTempMin02,Celsius
2020-01-11 00:00:00,106,25.8,PdtTempMax02,Celsius
2020-01-11 00:00:00,107,72,PdtDepth03,meter
2020-01-11 00:00:00,108,25.4,PdtTempMin03,Celsius
2020-01-11 00:00:00,109,25.6,PdtTempMax03,Celsius
2020-01-11 00:00:00,110,112,PdtDepth04,meter
2020-01-11 00:00:00,111,24.6,PdtTempMin04,Celsius
2020-01-11 00:00:00,112,25,PdtTempMax04,Celsius
2020-01-11 00:00:00,113,144,PdtDepth05,meter
2020-01-11 00:00:00,114,22.6,PdtTempMin05,Celsius
2020-01-11 00:00:00,115,22.8,PdtTempMax05,Celsius
2020-01-11 00:00:00,116,152,PdtDepth06,meter
2020-01-11 00:00:00,117,22.4,PdtTempMin06,Celsius
2020-01-11 00:00:00,118,22.8,PdtTempMax06,Celsius
2020-01-11 00:00:00,119,184,PdtDepth07,meter
2020-01-11 00:00:00,120,22.2,PdtTempMin07,Celsius
2020-01-11 00:00:00,121,22.4,PdtTempMax07,Celsius
2020-01-11 00:00:00,122,232,PdtDepth08,meter
2020-01-11 00:00:00,123,22,PdtTempMin08,Celsius
2020-01-11 00:00:00,124,22,PdtTempMax08,Celsius
2020-01-11 00:00:00,1004,1.375,depthMin,meter
2020-01-11 00:00:00,1005,232,depthMax,meter
2020-01-11 10:00:00,2,38.875,longitude,degree
2020-01-11 10:00:00,3,22.35,latitude,degree
2020-01-11 10:00:00,19,0,longitudeError,degree
2020-01-11 10:00:00,20,0,latitudeError,degree
2020-01-11 10:00:00,23,25.5,sst,Celsius
2020-01-11 10:00:00,365,1,TimeAtDepthBin01,frequency
2020-01-11 10:00:00,366,1,TimeAtDepthBin02,frequency
2020-01-11 10:00:00,367,1,TimeAtDepthBin03,frequency
2020-01-11 10:00:00,368,1,TimeAtDepthBin04,frequency
2020-01-11 10:00:00,369,1,TimeAtDepthBin05,frequency
2020-01-11 10:00:00,370,80.8,TimeAtDepthBin06,frequency
2020-01-11 10:00:00,371,14.4,TimeAtDepthBin07,frequency
2020-01-11 10:00:00,372,0,TimeAtDepthBin08,frequency
2020-01-11 10:00:00,373,0,TimeAtDepthBin09,frequency
2020-01-11 10:00:00,374,0,TimeAtDepthBin10,frequency
2020-01-11 10:00:00,381,0,TimeAtTempBin01,frequency
2020-01-11 10:00:00,382,0,TimeAtTempBin02,frequency
2020-01-11 10:00:00,383,0,TimeAtTempBin03,frequency
2020-01-11 10:00:00,384,0,TimeAtTempBin04,frequency
2020-01-11 10:00:00,385,0,TimeAtTempBin05,frequency
2020-01-11 10:00:00,386,0,TimeAtTempBin06,frequency
2020-01-11 10:00:00,387,98,TimeAtTempBin07,frequency
2020-01-11 10:00:00,388,1,TimeAtTempBin08,frequency
2020-01-11 10:00:00,389,1,TimeAtTempBin09,frequency
2020-01-11 10:00:00,397,24,summaryPeriod,hours
2020-01-11 10:00:00,1004,0,depthMin,meter
2020-01-11 10:00:00,1005,232,depthMax,meter
2020-01-11 10:00:00,1025,1.4,sstDepth,meter
2020-01-11 10:11:15,5,1.5,depth,meter
2020-01-11 10:11:15,6,25.5,temperature,Celsius
2020-01-11 10:11:15,1011,1.5,depthDelta,meter
2020-01-11 10:11:15,1014,0.15,tempDelta,Celsius
2020-01-11 10:12:30,5,4,depth,meter
2020-01-11 10:12:30,6,25.8,temperature,Celsius
2020-01-11 10:12:30,1011,1.75,depthDelta,meter
2020-01-11 10:12:30,1014,0.2,tempDelta,Celsius
2020-01-11 10:13:45,5,38,depth,meter
2020-01-11 10:13:45,6,26,temperature,Celsius
2020-01-11 10:13:45,1011,6.25,depthDelta,meter
2020-01-11 10:13:45,1014,0.15,tempDelta,Celsius
2020-01-11 10:15:00,5,60,depth,meter
2020-01-11 10:15:00,6,26,temperature,Celsius
2020-01-11 10:15:00,1011,6.25,depthDelta,meter
2020-01-11 10:15:00,1014,0.15,tempDelta,Celsius
2020-01-11 10:16:15,5,87.5,depth,meter
2020-01-11 10:16:15,6,25.3,temperature,Celsius
2020-01-11 10:16:15,1011,12,depthDelta,meter
2020-01-11 10:16:15,1014,0.15,tempDelta,Celsius
2020-01-11 10:17:30,5,87.5,depth,meter
2020-01-11 10:17:30,6,25,temperature,Celsius
2020-01-11 10:17:30,1011,12,depthDelta,meter
2020-01-11 10:17:30,1014,0.2,tempDelta,Celsius
2020-01-11 10:18:45,5,109,depth,meter
2020-01-11 10:18:45,6,25,temperature,Celsius
2020-01-11 10:18:45,1011,12.25,depthDelta,meter
2020-01-11 10:18:45,1014,0.2,tempDelta,Celsius
2020-01-11 10:20:00,5,109,depth,meter
2020-01-11 10:20:00,6,24.2,temperature,Celsius
2020-01-11 10:20:00,1011,12.25,depthDelta,meter
2020-01-11 10:20:00,1014,0.2,tempDelta,Celsius
2020-01-11 10:21:15,5,131,depth,meter
2020-01-11 10:21:15,6,23.5,temperature,Celsius
2020-01-11 10:21:15,1011,12.5,depthDelta,meter
2020-01-11 10:21:15,1014,0.2,tempDelta,Celsius
2020-01-11 10:22:30,5,131,depth,meter
2020-01-11 10:22:30,6,23.2,temperature,Celsius
2020-01-11 10:22:30,1011,12.5,depthDelta,meter
2020-01-11 10:22:30,1014,0.15,tempDelta,Celsius
2020-01-11 10:23:45,5,131,depth,meter
2020-01-11 10:23:45,6,23,temperature,Celsius
2020-01-11 10:23:45,1011,12.5,depthDelta,meter
2020-01-11 10:23:45,1014,0.15,tempDelta,Celsius
2020-01-11 10:25:00,5,153,depth,meter
2020-01-11 10:25:00,6,22.8,temperature,Celsius
2020-01-11 10:25:00,1011,13.25,depthDelta,meter
2020-01-11 10:25:00,1014,0.2,tempDelta,Celsius
2020-01-11 10:26:15,5,153,depth,meter
2020-01-11 10:26:15,6,22.8,temperature,Celsius
2020-01-11 10:26:15,1011,13.25,depthDelta,meter
2020-01-11 10:26:15,1014,0.2,tempDelta,Celsius
2020-01-11 10:27:30,5,153,depth,meter
2020-01-11 10:27:30,6,22.8,temperature,Celsius
2020-01-11 10:27:30,1011,13.25,depthDelta,meter
2020-01-11 10:27:30,1014,0.2,tempDelta,Celsius
2020-01-11 10:28:45,5,153,depth,meter
2020-01-11 10:28:45,6,22.8,temperature,Celsius
2020-01-11 10:28:45,1011,13.25,depthDelta,meter
2020-01-11 10:28:45,1014,0.2,tempDelta,Celsius
2020-01-11 10:30:00,5,153,depth,meter
2020-01-11 10:30:00,6,22.8,temperature,Celsius
2020-01-11 10:30:00,1011,13.25,depthDelta,meter
2020-01-11 10:30:00,1014,0.2,tempDelta,Celsius
2020-01-11 10:31:15,5,153,depth,meter
2020-01-11 10:31:15,6,22.5,temperature,Celsius
2020-01-11 10:31:15,1011,13.25,depthDelta,meter
2020-01-11 10:31:15,1014,0.15,tempDelta,Celsius
2020-01-11 10:32:30,5,153,depth,meter
2020-01-11 10:32:30,6,22.8,temperature,Celsius
2020-01-11 10:32:30,1011,13.25,depthDelta,meter
2020-01-11 10:32:30,1014,0.2,tempDelta,Celsius
2020-01-11 10:33:45,5,153,depth,meter
2020-01-11 10:33:45,6,22.8,temperature,Celsius
2020-01-11 10:33:45,1011,13.25,depthDelta,meter
2020-01-11 10:33:45,1014,0.2,tempDelta,Celsius
2020-01-11 10:35:00,5,153,depth,meter
2020-01-11 10:35:00,6,22.8,temperature,Celsius
2020-01-11 10:35:00,1011,13.25,depthDelta,meter
2020-01-11 10:35:00,1014,0.2,tempDelta,Celsius
2020-01-11 10:36:15,5,153,depth,meter
2020-01-11 10:36:15,6,22.8,temperature,Celsius
2020-01-11 10:36:15,1011,13.25,depthDelta,meter
2020-01-11 10:36:15,1014,0.2,tempDelta,Celsius
2020-01-11 10:37:30,5,153,depth,meter
2020-01-11 10:37:30,6,22.8,temperature,Celsius
2020-01-11 10:37:30,1011,13.25,depthDelta,meter
2020-01-11 10:37:30,1014,0.2,tempDelta,Celsius
2020-01-11 10:38:45,5,153,depth,meter
2020-01-11 10:38:45,6,22.8,temperature,Celsius
2020-01-11 10:38:45,1011,13.25,depthDelta,meter
2020-01-11 10:38:45,1014,0.2,tempDelta,Celsius
2020-01-11 10:40:00,5,153,depth,meter
2020-01-11 10:40:00,6,22.8,temperature,Celsius
2020-01-11 10:40:00,1011,13.25,depthDelta,meter
2020-01-11 10:40:00,1014,0.2,tempDelta,Celsius
2020-01-11 10:41:15,5,153,depth,meter
2020-01-11 10:41:15,6,22.8,temperature,Celsius
2020-01-11 10:41:15,1011,13.25,depthDelta,meter
2020-01-11 10:41:15,1014,0.2,tempDelta,Celsius
2020-01-11 10:42:30,5,153,depth,meter
2020-01-11 10:42:30,6,22.8,temperature,Celsius
2020-01-11 10:42:30,1011,13.25,depthDelta,meter
2020-01-11 10:42:30,1014,0.2,tempDelta,Celsius
2020-01-11 10:43:45,5,153,depth,meter
2020-01-11 10:43:45,6,22.8,temperature,Celsius
2020-01-11 10:43:45,1011,13.25,depthDelta,meter
2020-01-11 10:43:45,1014,0.2,tempDelta,Celsius
2020-01-11 10:45:00,5,153,depth,meter
2020-01-11 10:45:00,6,22.8,temperature,Celsius
2020-01-11 10:45:00,1011,13.25,depthDelta,meter
2020-01-11 10:45:00,1014,0.2,tempDelta,Celsius
2020-01-11 10:46:15,5,153,depth,meter
2020-01-11 10:46:15,6,22.8,temperature,Celsius
2020-01-11 10:46:15,1011,13.25,depthDelta,meter
2020-01-11 10:46:15,1014,0.2,tempDelta,Celsius
2020-01-11 10:47:30,5,153,depth,meter
2020-01-11 10:47:30,6,22.8,temperature,Celsius
2020-01-11 10:47:30,1011,13.25,depthDelta,meter
2020-01-11 10:47:30,1014,0.2,tempDelta,Celsius
2020-01-11 10:48:45,5,153,depth,meter
2020-01-11 10:48:45,6,22.8,temperature,Celsius
2020-01-11 10:48:45,1011,13.25,depthDelta,meter
2020-01-11 10:48:45,1014,0.2,tempDelta,Celsius
2020-01-11 10:50:00,5,153,depth,meter
2020-01-11 10:50:00,6,22.8,temperature,Celsius
2020-01-11 10:50:00,1011,13.25,depthDelta,meter
2020-01-11 10:50:00,1014,0.2,tempDelta,Celsius
2020-01-11 10:51:15,5,153,depth,meter
2020-01-11 10:51:15,6,22.8,temperature,Celsius
2020-01-11 10:51:15,1011,13.25,depthDelta,meter
2020-01-11 10:51:15,1014,0.2,tempDelta,Celsius
2020-01-11 10:52:30,5,153,depth,meter
2020-01-11 10:52:30,6,22.8,temperature,Celsius
2020-01-11 10:52:30,1011,13.25,depthDelta,meter
2020-01-11 10:52:30,1014,0.2,tempDelta,Celsius
2020-01-11 10:53:45,5,153,depth,meter
2020-01-11 10:53:45,6,22.8,temperature,Celsius
2020-01-11 10:53:45,1011,13.25,depthDelta,meter
2020-01-11 10:53:45,1014,0.2,tempDelta,Celsius
2020-01-11 10:55:00,5,153,depth,meter
2020-01-11 10:55:00,6,22.8,temperature,Celsius
2020-01-11 10:55:00,1011,13.25,depthDelta,meter
2020-01-11 10:55:00,1014,0.2,tempDelta,Celsius
2020-01-11 10:56:15,5,153,depth,meter
2020-01-11 10:56:15,6,22.8,temperature,Celsius
2020-01-11 10:56:15,1011,13.25,depthDelta,meter
2020-01-11 10:56:15,1014,0.2,tempDelta,Celsius
2020-01-11 10:57:30,5,153,depth,meter
2020-01-11 10:57:30,6,22.8,temperature,Celsius
2020-01-11 10:57:30,1011,13.25,depthDelta,meter
2020-01-11 10:57:30,1014,0.2,tempDelta,Celsius
2020-01-11 10:58:45,5,153,depth,meter
2020-01-11 10:58:45,6,22.8,temperature,Celsius
2020-01-11 10:58:45,1011,13.25,depthDelta,meter
2020-01-11 10:58:45,1014,0.2,tempDelta,Celsius
2020-01-11 11:00:00,5,154,depth,meter
2020-01-11 11:00:00,6,22.6,temperature,Celsius
2020-01-11 11:00:00,1011,2.75,depthDelta,meter
2020-01-11 11:00:00,1014,0.05,tempDelta,Celsius
2020-01-11 11:01:15,5,151,depth,meter
2020-01-11 11:01:15,6,22.6,temperature,Celsius
2020-01-11 11:01:15,1011,3,depthDelta,meter
2020-01-11 11:01:15,1014,0.05,tempDelta,Celsius
2020-01-11 11:02:30,5,159.5,depth,meter
2020-01-11 11:02:30,6,22.5,temperature,Celsius
2020-01-11 11:02:30,1011,3.75,depthDelta,meter
2020-01-11 11:02:30,1014,0.1,tempDelta,Celsius
2020-01-11 11:03:45,5,154,depth,meter
2020-01-11 11:03:45,6,22.6,temperature,Celsius
2020-01-11 11:03:45,1011,2.75,depthDelta,meter
2020-01-11 11:03:45,1014,0.05,tempDelta,Celsius
2020-01-11 11:05:00,5,152.5,depth,meter
2020-01-11 11:05:00,6,22.6,temperature,Celsius
2020-01-11 11:05:00,1011,2.75,depthDelta,meter
2020-01-11 11:05:00,1014,0.05,tempDelta,Celsius
2020-01-11 11:06:15,5,154,depth,meter
2020-01-11 11:06:15,6,22.6,temperature,Celsius
2020-01-11 11:06:15,1011,2.75,depthDelta,meter
2020-01-11 11:06:15,1014,0.05,tempDelta,Celsius
2020-01-11 11:07:30,5,152.5,depth,meter
