"; PTT 196385, Serial 19P0534, Run 1 - 0.25&deg; Grid Size @ 06-Mar-2020 01:01"
"; Marine @ 2.0 meters/second, Model Score 49.98"
"; 2 Status Clock Corrections, 22 Twilights, 3 SSTs, 2 User Locations"
"; SST Reference Data Set: NOAA OI SST V2 High Resolution, Bathymetry Reference Data Set: ETOPO1-Bedrock"

DeployID,Ptt,Date,Most Likely Latitude,Most Likely Longitude,Observation Type,Observed SST,Satellite SST,Observed Depth,Bathymetry Depth,Observation LL (MSS),Observation Score,Sunrise,Sunset
,196385,11-Jan-2020 10:00:00,22.35,38.875,User,,,,,,68.3558613412709,,
,196385,11-Jan-2020 12:00:00,22.35,38.875,None,,,,,,,,
,196385,12-Jan-2020 00:00:00,22.3,38.7,None,,,,,,,12-Jan-2020 04:06:53,12-Jan-2020 14:59:46
,196385,12-Jan-2020 03:53:45,22.275,38.65,Light - Dawn,,,304,823,,98.7630921646848,,
,196385,12-Jan-2020 12:00:00,22.25,38.575,None,,,,,,,,
,196385,12-Jan-2020 14:40:00,22.25,38.575,Light - Dusk,,,240,823,,47.4613943252306,,
,196385,13-Jan-2020 00:00:00,22.225,38.525,None,,,,,,,13-Jan-2020 04:07:32,13-Jan-2020 15:01:18
,196385,13-Jan-2020 12:00:00,22.225,38.475,None,,,,,,,,
,196385,13-Jan-2020 16:35:00,22.2,38.475,Light - Dusk,,,48,902,,0.1,,
,196385,14-Jan-2020 00:00:00,22.2,38.45,None,,,,,,,14-Jan-2020 04:07:50,14-Jan-2020 15:02:21
,196385,14-Jan-2020 03:38:45,22.2,38.45,Light - Dawn,,,272,902,,93.1457354790531,,
,196385,14-Jan-2020 12:00:00,22.175,38.425,None,,,,,,,,
,196385,15-Jan-2020 00:00:00,22.15,38.375,None,,,,,,,15-Jan-2020 04:08:05,15-Jan-2020 15:03:26
,196385,15-Jan-2020 03:30:00,22.125,38.375,Light - Dawn,,,272,902,,5.83216430541015,,
,196385,15-Jan-2020 12:00:00,22.15,38.375,None,,,,,,,,
,196385,15-Jan-2020 16:28:45,22.175,38.375,Light - Dusk,,,80,902,,0.0999999999999999,,
,196385,16-Jan-2020 00:00:00,22.175,38.35,None,,,,,,,16-Jan-2020 04:08:15,16-Jan-2020 15:04:11
,196385,16-Jan-2020 12:00:00,22.15,38.325,None,,,,,,,,
,196385,17-Jan-2020 00:00:00,22.15,38.325,None,,,,,,,17-Jan-2020 04:08:17,17-Jan-2020 15:05:02
,196385,17-Jan-2020 03:27:30,22.125,38.3,Light - Dawn,,,272,902,,0.100109106643016,,
,196385,17-Jan-2020 12:00:00,22.125,38.3,None,,,,,,,,
,196385,18-Jan-2020 00:00:00,22.125,38.275,None,,,,,,,18-Jan-2020 04:08:25,18-Jan-2020 15:05:58
,196385,18-Jan-2020 01:57:30,22.125,38.275,Light - Dusk,,,112,902,,0.0999999999999999,,
,196385,18-Jan-2020 12:00:00,22.1,38.25,None,,,,,,,,
,196385,19-Jan-2020 00:00:00,22.1,38.25,None,,,,,,,19-Jan-2020 04:08:25,19-Jan-2020 15:06:48
,196385,19-Jan-2020 12:00:00,22.1,38.225,None,,,,,,,,
,196385,20-Jan-2020 00:00:00,22.075,38.225,None,,,,,,,20-Jan-2020 04:08:24,20-Jan-2020 15:07:39
,196385,20-Jan-2020 12:00:00,22.075,38.225,None,,,,,,,,
,196385,21-Jan-2020 00:00:00,22.075,38.2,None,,,,,,,21-Jan-2020 04:08:24,21-Jan-2020 15:08:26
,196385,21-Jan-2020 03:55:00,22.075,38.2,Light - Dawn,,,208,1892,,83.953221258488,,
