"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",196385,6750,21.87661,38.0536,1,02/03/2020 02:34:28,Argos,0,361,NP,,401677645.55,02/03/2020 02:30:22,1,5,0,-122,401677645.55,38.0536,21.87661,58.86621,17.15474,56,3,522,920,295,82,345,220,46,16,88,149,222,209,51,51,179,51,51,59,179,51,51,63,49,156,220,200,192,140,64,192,4,0,4,76,200,192,
"",196385,6750,21.87661,38.0536,1,02/03/2020 02:34:28,Argos,0,361,NP,,401677645.55,02/03/2020 02:32:23,1,5,0,-122,401677645.55,38.0536,21.87661,58.86621,17.15474,56,3,522,920,295,82,345,209,52,112,88,163,51,240,213,158,102,234,243,119,119,183,219,48,48,185,227,112,243,235,90,51,39,51,51,50,234,32,
"",196385,6750,21.87661,38.0536,1,02/03/2020 02:34:28,Argos,0,361,NP,,401677645.55,02/03/2020 02:33:24,1,5,0,-122,401677645.55,38.0536,21.87661,58.86621,17.15474,56,3,522,920,295,82,345,140,97,224,91,141,47,36,153,113,157,205,242,18,46,66,86,102,199,8,66,146,141,136,139,91,55,54,56,56,254,63,
"",196385,6750,21.87661,38.0536,1,02/03/2020 02:34:28,Argos,0,361,NP,,401677645.55,02/03/2020 02:34:24,1,5,0,-122,401677645.55,38.0536,21.87661,58.86621,17.15474,56,3,522,920,295,82,345,213,250,80,88,165,222,240,255,255,255,255,255,255,255,247,119,119,255,255,255,255,255,255,255,255,255,255,247,255,255,255,
"",196385,6750,21.87661,38.0536,1,02/03/2020 02:34:28,Argos,0,361,NP,,401677645.55,02/03/2020 02:36:23,1,5,0,-122,401677645.55,38.0536,21.87661,58.86621,17.15474,56,3,522,920,295,82,345,223,100,96,88,181,222,241,187,59,187,187,187,191,255,191,255,187,255,187,187,187,187,187,187,187,187,187,187,187,187,187,
"",196385,6750,21.87661,38.0536,1,02/03/2020 02:34:28,Argos,0,361,NP,,401677645.55,02/03/2020 02:38:34,1,5,0,-122,401677645.55,38.0536,21.87661,58.86621,17.15474,56,3,522,920,295,82,345,214,179,112,88,194,211,242,170,97,154,25,98,25,34,106,239,119,183,123,187,187,187,187,255,187,119,119,119,119,119,184,
"",196385,6750,21.874,38.0528,3,02/03/2020 02:52:06,Argos,0,421,SR,,401677647.68,02/03/2020 02:48:36,1,4,0,-124,401677647.68,38.0528,21.874,45.79534,23.51682,66,2,202,727,56,72,438,220,160,96,88,245,222,244,17,17,17,17,17,17,17,17,17,68,68,68,119,119,119,119,123,187,238,255,254,235,187,183,
"",196385,6750,21.874,38.0528,3,02/03/2020 02:52:06,Argos,0,421,SR,,401677647.68,02/03/2020 02:53:36,1,4,0,-124,401677647.68,38.0528,21.874,45.79534,23.51682,66,2,202,727,56,72,438,137,227,112,102,99,248,0,,,,,,,,,,,,,,,,,,,,,,,,,
"",196385,6750,21.874,38.0528,3,02/03/2020 02:52:06,Argos,0,421,SR,,401677647.68,02/03/2020 02:54:37,1,4,0,-124,401677647.68,38.0528,21.874,45.79534,23.51682,66,2,202,727,56,72,438,212,251,128,89,21,222,244,119,119,119,119,119,119,119,123,123,187,190,187,187,190,238,255,238,183,119,119,116,68,68,68,
"",196385,6750,21.874,38.0528,3,02/03/2020 02:52:06,Argos,0,421,SR,,401677647.68,02/03/2020 02:55:37,1,4,0,-124,401677647.68,38.0528,21.874,45.79534,23.51682,66,2,202,727,56,72,438,3,184,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
