DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
196385,196385,MiniPAT,02:34:28 03-Feb-2020,Argos,1,21.8766,38.0536,522,920,295,82,,,,,,
196385,196385,MiniPAT,02:52:06 03-Feb-2020,Argos,3,21.8740,38.0528,202,727,56,72,,,,,,
196385,196385,MiniPAT,04:15:11 03-Feb-2020,Argos,A,21.8738,38.0519,2007,10029,401,135,,,,,,
196385,196385,MiniPAT,04:21:46 03-Feb-2020,Argos,A,21.8715,38.0443,1196,3615,395,30,,,,,,
196385,196385,MiniPAT,04:31:23 03-Feb-2020,Argos,A,21.8748,38.0472,3363,13959,810,129,,,,,,
196385,196385,MiniPAT,05:45:53 03-Feb-2020,Argos,1,21.8763,38.0418,586,666,515,57,,,,,,
196385,196385,MiniPAT,06:01:21 03-Feb-2020,Argos,3,21.8801,38.0336,230,441,120,173,,,,,,
196385,196385,MiniPAT,06:05:50 03-Feb-2020,Argos,1,21.8779,38.0382,518,1009,266,72,,,,,,
196385,196385,MiniPAT,06:14:46 03-Feb-2020,Argos,3,21.8777,38.0408,234,560,98,58,,,,,,
196385,196385,MiniPAT,07:02:10 03-Feb-2020,Argos,A,21.8774,38.0128,985,16072,60,85,,,,,,
196385,196385,MiniPAT,07:26:07 03-Feb-2020,Argos,2,21.8758,38.0268,308,484,196,131,,,,,,
196385,196385,MiniPAT,07:45:33 03-Feb-2020,Argos,2,21.8744,38.0271,407,459,360,140,,,,,,
196385,196385,MiniPAT,07:53:31 03-Feb-2020,Argos,2,21.8785,38.0285,308,461,205,106,,,,,,
196385,196385,MiniPAT,13:46:40 03-Feb-2020,Argos,2,21.8712,37.9901,493,810,299,31,,,,,,
196385,196385,MiniPAT,15:18:06 03-Feb-2020,Argos,1,21.8687,37.9827,536,1224,234,93,,,,,,
196385,196385,MiniPAT,15:27:34 03-Feb-2020,Argos,2,21.8679,37.9834,316,483,206,98,,,,,,
196385,196385,MiniPAT,15:28:34 03-Feb-2020,Argos,0,21.8694,37.9881,2019,11001,370,56,,,,,,
196385,196385,MiniPAT,16:55:15 03-Feb-2020,Argos,1,21.8556,37.9767,681,947,488,22,,,,,,
196385,196385,MiniPAT,16:55:15 03-Feb-2020,Argos,2,21.8570,37.9756,371,640,215,14,,,,,,
196385,196385,MiniPAT,17:09:13 03-Feb-2020,Argos,2,21.8553,37.9748,265,380,183,111,,,,,,
