Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
6750,196385,31,NP,1,3,03-Feb-2020,02:34:28,21.8766,38.0536,,401677645,-122,56,0,03-Feb-2020,02:30:22,17.1547,58.8662,492,522,920,295,82,,,220,46,16,88,149,222,209,51,51,179,51,51,59,179,51,51,63,49,156,220,200,192,140,64,192,4,0,4,76,200,192,
6750,196385,31,NP,1,3,03-Feb-2020,02:34:28,21.8766,38.0536,,401677645,-122,56,0,03-Feb-2020,02:32:23,17.1547,58.8662,492,522,920,295,82,,,209,52,112,88,163,51,240,213,158,102,234,243,119,119,183,219,48,48,185,227,112,243,235,90,51,39,51,51,50,234,32,
6750,196385,31,NP,1,3,03-Feb-2020,02:34:28,21.8766,38.0536,,401677645,-122,56,0,03-Feb-2020,02:33:24,17.1547,58.8662,492,522,920,295,82,,,140,97,224,91,141,47,36,153,113,157,205,242,18,46,66,86,102,199,8,66,146,141,136,139,91,55,54,56,56,254,63,
6750,196385,31,NP,1,3,03-Feb-2020,02:34:28,21.8766,38.0536,,401677645,-122,56,0,03-Feb-2020,02:34:24,17.1547,58.8662,492,522,920,295,82,,,213,250,80,88,165,222,240,255,255,255,255,255,255,255,247,119,119,255,255,255,255,255,255,255,255,255,255,247,255,255,255,
6750,196385,31,NP,1,3,03-Feb-2020,02:34:28,21.8766,38.0536,,401677645,-122,56,0,03-Feb-2020,02:36:23,17.1547,58.8662,492,522,920,295,82,,,223,100,96,88,181,222,241,187,59,187,187,187,191,255,191,255,187,255,187,187,187,187,187,187,187,187,187,187,187,187,187,
6750,196385,31,NP,1,3,03-Feb-2020,02:34:28,21.8766,38.0536,,401677645,-122,56,0,03-Feb-2020,02:38:34,17.1547,58.8662,492,522,920,295,82,,,214,179,112,88,194,211,242,170,97,154,25,98,25,34,106,239,119,183,123,187,187,187,187,255,187,119,119,119,119,119,184,
6750,196385,31,SR,3,4,03-Feb-2020,02:52:06,21.8740,38.0528,,401677647,-124,66,0,03-Feb-2020,02:48:36,23.5168,45.7953,421,202,727,56,72,,,220,160,96,88,245,222,244,17,17,17,17,17,17,17,17,17,68,68,68,119,119,119,119,123,187,238,255,254,235,187,183,
6750,196385,7,SR,3,4,03-Feb-2020,02:52:06,21.8740,38.0528,,401677647,-124,66,0,03-Feb-2020,02:53:36,23.5168,45.7953,421,202,727,56,72,,,137,227,112,102,99,248,0,,,,,,,,,,,,,,,,,,,,,,,,,
6750,196385,31,SR,3,4,03-Feb-2020,02:52:06,21.8740,38.0528,,401677647,-124,66,0,03-Feb-2020,02:54:37,23.5168,45.7953,421,202,727,56,72,,,212,251,128,89,21,222,244,119,119,119,119,119,119,119,123,123,187,190,187,187,190,238,255,238,183,119,119,116,68,68,68,
6750,196385,3,SR,3,4,03-Feb-2020,02:52:06,21.8740,38.0528,,401677647,-124,66,0,03-Feb-2020,02:55:37,23.5168,45.7953,421,202,727,56,72,,,3,184,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6750,196385,31,NP,A,5,03-Feb-2020,04:15:11,21.8738,38.0519,,401677647,-125,8,0,03-Feb-2020,04:12:09,27.9249,10.6587,365,2007,10029,401,135,,,217,175,144,91,54,29,140,124,4,161,82,128,4,6,1,14,191,255,255,255,191,255,251,187,191,251,255,241,81,14,100,
